,SMILES,Material Code,Name,CAS
0,C1=CC=C2C(=C1)C(=O)NC(=N2)C3=CC=CC=N3,DBA59460,4-Hydroxy-2-(2-pyridyl)quinazoline,28594-60-7
1,C1CCC(CC1)CCCCCCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,DC05107,6-Cyclohexylhexyl b-D-maltoside,228579-27-9
2,C1CCC(CC1)CCCCCCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,DC05107,6-Cyclohexylhexyl-4-O-(a-D-glucopyranosyl)-b-D-glucopyranoside,228579-27-9
3,C1CCC(CC1)CCCCCCCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,DC06148,7-Cyclohexylheptyl b-D-maltoside,349477-49-2
4,CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD05089,Decyl b-D-maltopyranoside,82494-09-5
5,CCCCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DD05740,Decyl b-D-thioglucopyranoside,98854-16-1
6,CCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD06199,n-Dodecyl-beta-D-maltoside,69227-93-6
7,CCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD06199,Dodecyl b-D-maltopyranoside,69227-93-6
8,CCCCCCCCCCCCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD06349,Dodecyl a-D-maltopyranoside,116183-64-3
9,CCCCCCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD06355,Dodecyl b-D-thiomaltopyranoside,148565-58-6
